Player,position,x1_goalspergame,x2_assists,x3_passingacc,x4_longballacc,x5_crossingacc,x6_interceptions,x7_ballrecov,x8_nowaythru,x9_clearance,x10_dribbsucc,x11_duelwon,x12_aerialduelwon,x13_cleansheet,x14_percentsaved,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman
nazari nazrul,non-gk,25,25,79.75,49.75,55,66.34615385,80.52884615,73.91304348,60.9375,70,46.75,62.5,0,0,32.70127717,43.61127717,64.66276756,65.18408445,60.41752717,62.75505435,57.15627717,49.02513587,49.74701087,46.79013587,52.75263587,0,0,1,1,1,1,1,0,0,0,1
vestering jordan,non-gk,35.71428571,25,85.75,40.75,49.75,50,58.17307692,73.91304348,45.3125,62.5,43,49.75,0,0,27.90207388,38.51957388,55.56214943,54.29622731,52.33537058,54.08298017,53.15421673,46.59020455,47.47904384,45.47484741,49.15520455,0,0,1,1,1,1,1,0,0,0,0
nazhiim harman,non-gk,25,50,85,58,31.75,83.65384615,84.85576923,91.84782609,46.875,72.25,48.25,78.25,0,0,35.86912207,47.62662207,70.43671823,70.08462375,63.03460284,69.14872492,64.25662207,49.93089883,53.58714883,50.54339883,56.13089883,0,0,1,1,1,1,1,0,1,1,1
adam reefdy,non-gk,25,25,81.25,54.25,25,33.65384615,41.58653846,39.67391304,26.5625,62.5,51.25,49.75,0,0,24.00883988,35.09883988,48.58638796,42.28269649,44.15335911,43.420949,47.50383988,38.07891095,42.03203595,40.36641095,46.06641095,0,0,0,0,0,0,0,0,0,0,0
azman danish irfan,non-gk,25,25,88.75,52,62.5,48.07692308,67.54807692,54.34782609,39.0625,62.5,52,62.5,0,0,29.5917663,41.4767663,59.27758361,53.82760452,56.5705163,55.38853261,55.7717663,48.11508152,47.14320652,44.71758152,49.81758152,0,0,1,1,1,1,1,0,0,0,0
hariss harun,non-gk,25,37.5,82.75,48.25,49,58.65384615,65.38461538,65.76086957,56.25,75.25,55,75.25,0,0,33.31496656,44.28496656,63.35669732,62.7001505,60.33688963,60.72935619,59.56746656,50.63098662,52.84348662,50.15348662,56.67848662,0,0,1,1,1,1,1,1,1,1,1
christopher van huizen,non-gk,25,37.5,91.75,64,25,51.92307692,68.99038462,44.56521739,35.9375,100,53.5,57.25,0,0,30.38580895,43.09580895,61.86633779,58.03907609,57.63398202,57.24354097,60.11080895,48.48394858,53.13082358,49.81394858,60.87644858,0,0,1,1,1,1,1,0,1,0,1
lionel tan,non-gk,25,25,91,56.5,25,54.80769231,70.43269231,78.80434783,46.875,62.5,45.25,72.25,0,0,31.37098662,43.42098662,63.04704431,59.11882943,53.62550585,58.67149247,55.52598662,42.07714465,46.44589465,45.42964465,49.70464465,0,0,1,1,1,1,1,0,0,0,0
bill mamadou,non-gk,25,25,100,25,25,34.61538462,32.21153846,33.15217391,40.625,100,75.25,25,0,0,25.55520485,35.80520485,49.23068562,49.16191472,50.409051,45.60925585,53.55020485,43.79333194,50.84958194,46.56833194,60.33083194,0,0,0,0,1,0,1,0,1,0,1
akram azman,non-gk,25,25,83.5,63.25,29.5,69.23076923,73.31730769,77.17391304,59.375,100,50.5,61,0,0,34.1298495,46.1648495,67.31648411,69.55298495,62.04975334,64.58710284,60.0548495,49.3156898,54.1594398,51.3931898,62.1181898,0,0,1,1,1,1,1,0,1,1,1
shahrin saberin,non-gk,25,25,90.25,65.5,43.75,61.53846154,74.03846154,51.08695652,60.9375,25,47.5,64.75,0,0,29.34506898,42.24256898,63.28348244,54.58322324,51.31391513,56.48273411,53.56006898,40.78265259,43.26702759,40.06265259,39.20015259,0,0,1,1,1,1,1,0,0,0,0
faizal roslan,non-gk,35.71428571,25,81.25,59.5,53.5,75.96153846,76.92307692,85.32608696,76.5625,82.75,55.75,76.75,0,0,37.61830297,49.41330297,72.09318622,74.77636945,67.3246766,69.99601529,62.54794583,55.49269619,58.65653548,56.97983905,62.98519619,0,0,1,1,1,1,1,1,1,1,1
syed akmal,non-gk,25,25,79,56.5,25,50.96153846,58.89423077,57.60869565,29.6875,100,34.75,25,0,0,24.54259824,35.63259824,51.90370401,52.43217809,49.83788671,50.28923495,51.45759824,43.0961643,45.5555393,41.5061643,53.2436643,0,0,1,1,0,1,1,0,0,0,1
farhan zulkifli,non-gk,57.14285714,62.5,81.25,55,45.25,34.61538462,41.58653846,47.82608696,26.5625,76.75,52.75,25,0,0,23.96845407,35.32095407,48.76223841,45.10546285,50.6324788,48.19254001,58.33738264,55.62475663,58.29752449,53.2386852,57.56725663,0,0,0,0,1,0,1,1,1,1,1
